path	lines_wc_l	bytes	sha256
src/controller_server/controller_server/controller/tests/test_controller.py	36	1072	7fd62b2634e71f95a1e558e6187b4b06eb18e0af03d4a31dbf8937cee3b01f63
src/controller_server/controller_server/controller/tests/test_protocol.py	227	6922	0f2da4df15d671043be3589d37d57ab122e3e0d71b651295c14d38104a514042
src/controller_server/controller_server/controller_server_node.py	708	33162	c6b417dad75bc328eddf8aa86e0b339632e845497d3d8ea10c2f91be5d772d83
src/controller_server/controller_server/rpy_esp32_comms/__init__.py	14	371	99b839056549e760c4d1ea193fec4eb6bcbbc5cb483b832c6751006aac328898
src/controller_server/controller_server/rpy_esp32_comms/__main__.py	13	246	90a6d560baf89152f907286badfade96563a043511d44fc633925cadc04c56ad
src/controller_server/controller_server/rpy_esp32_comms/cli.py	317	10398	ce44aa8031e07fcb4ae919afe570a4cdce6b023c99d84e7551cd586710eaf1e6
src/controller_server/controller_server/rpy_esp32_comms/controller.py	67	1964	35ecc738880538713b2fc0f34e17208229a6eb3dc1aeeb74dac0fab3434baace
src/controller_server/controller_server/rpy_esp32_comms/protocol.py	212	6743	8413007a1c25d073fc386eb8b4ef90a0e7f63099fca797dea153facde8ecba08
src/controller_server/controller_server/rpy_esp32_comms/telemetry.py	108	3052	e153793a45b2e0ae824b83a3555763a7446f01e1ea790072c8980ff4dcb47740
src/controller_server/controller_server/rpy_esp32_comms/transport.py	284	9723	a708a5a3a08a4d570f2cd419d7007c4d671d17ed2dfbcad1f02e7a90cee5f4ee
src/controller_server/controller_server/serial_port_resolver.py	190	5833	b5dea11d10fe012acfce589ad3b2cd9af5498569bd039c9306e1dff8bbde7ee6
src/controller_server/controller_server/sim_gazebo_backend.py	635	22215	fde91baec3cd862f2acdf85d6de924b23875fb0520a8f20ed02df9f62ee21f72
src/controller_server/controller_server/transport_backends.py	109	3486	4b039c602b5139d16847ab516c125084013a214bf9f7b2362527a5ca7c36b5ee
src/controller_server/launch/controller_server.launch.py	45	2010	53b7af4a6ce024939b138888909ab5d1169da84fb7d3a210b2ed3085ef50d378
src/controller_server/package.xml	26	849	028570c51c4edc992a66126b096219b0f596be5b20e58ab76e7b594c736b974b
src/controller_server/resource/controller_server	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/controller_server/setup.cfg	4	103	96e047c11a66d0349f69c9c89f24947c003d02a9371d8fd495a86307cc3631dc
src/controller_server/setup.py	32	900	c0ca451cfb61b6c54f7918e4ea82cb6f596b3b158fed3c3ab6f5a826c273d855
src/controller_server/test/test_battery_estimator.py	134	4801	b8fd79673b966cb2e2c99759503b13af31aaa942c8f6d56c4cdc13ec5282d92e
src/controller_server/test/test_control_logic.py	450	12973	5e04594d643205ab1039cbb06e51a6839a40f164f1f7bee5f6ae9d67c227267c
src/controller_server/test/test_copyright.py	25	962	ea71bbbc6247b5c14d176ed09f39ee274d563cc9b2ec355828ea451ceff31757
src/controller_server/test/test_flake8.py	25	884	37a813a0507f0ce51a2d0b57312d2cc078a0307a3ca85580ea801b0d2f9755d2
src/controller_server/test/test_pep257.py	23	803	e8b88d49ee296987b1b40069f81019b5fa09b1aa1bfee9a1faae45bb5cf53eda
src/controller_server/test/test_serial_port_resolver.py	129	3623	c48671d5db123acf1820224844cdf1b52f06a9b80f12a800ef67fd1c2ba4afce
src/controller_server/test/test_sim_gazebo_backend.py	394	12688	0bcaaeb598ee5eda430c272a48ec6cec96aafebdc4b35f2093961be0f160248b
src/interfaces/CMakeLists.txt	56	1558	c256a319d4e1133d34e098fc1a81acd6638472fc164a549672434672f039568b
src/interfaces/msg/BatteryMissionGuard.msg	16	394	fdd22e754bb870f8d81da7cdb29d4b3e44abb48359d63860aeed65850d992e80
src/interfaces/msg/CmdVelFinal.msg	7	142	790e6740cf2f50d543fe6f6bf39ea98ba8a2e98084d387174289f70d4907b651
src/interfaces/msg/DriveTelemetry.msg	12	239	f568daa7800ade64c223449862617e39fc61794c3f1adf2aab979ed27c1627c0
src/interfaces/msg/NavEvent.msg	7	140	61d7c2068f7b3cc245586bb1d32ba3eb70be089830b1448430e428e7a040aa06
src/interfaces/msg/NavSnapshotLayers.msg	9	149	6a9c5820d1c8148fb928788a3067e4d9c542edd7a9fc112fe53220c0340061c2
src/interfaces/msg/NavTelemetry.msg	22	506	eb47c0ac96165e2b8557f8e305aea4d6dedd85b82078209a2950371db758e2fb
src/interfaces/msg/NoGoPoint.msg	2	24	7c3efd2583aba2a91634fd6f6575af55c2b4df75a23c740cfc99f1e3b20094dd
src/interfaces/msg/NoGoZone.msg	4	66	6dbdebe90bb74d22fc3450a280c91c19b918fceb0c88a1d1cc6c957f4c50a5c4
src/interfaces/package.xml	26	968	bc8945b386f85ca9d7dd887312b0556f64fb35d5b7e3e49e4d085c07c324625c
src/interfaces/resource/interfaces	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/interfaces/srv/BrakeNav.srv	5	60	aa89697cdd269ba86a13efed832bf7f70542b127dcab731d132f2e67647d9e26
src/interfaces/srv/CameraPan.srv	5	69	a83fcdec782aeade8b9aae6c9726df2479641d1a85aa3ad0c621c86e4ef37864
src/interfaces/srv/CameraPreset.srv	8	113	93cf3ab70d1282178f92a36c8017d0ecdce40d0b352dbace9737124aa900de90
src/interfaces/srv/CameraPtz.srv	13	190	d8b49c64ff8c46f0cdd14152a12a1baf7ac70469877804c3daa285d73b576648
src/interfaces/srv/CameraPtzState.srv	9	131	b3a1a4a7a674942daed25483247fa9d1cddd6ef3aaf991c68d668889a0cc5311
src/interfaces/srv/CameraSavePreset.srv	9	126	cd70127118a43cc73e814913bde9c50ceac69029803b8db079602955ebd6e196
src/interfaces/srv/CameraStatus.srv	9	131	b503071dd2053ac5b115fcc20f75c6e5c6516b9498d7a9f5bd633088c1895c91
src/interfaces/srv/CancelNavGoal.srv	3	25	549e92e30297cdf62602f07aa964ddbd9f808ed036403c93c6e095df7d58b553
src/interfaces/srv/CancelPatrolMission.srv	3	25	549e92e30297cdf62602f07aa964ddbd9f808ed036403c93c6e095df7d58b553
src/interfaces/srv/CancelRouteMission.srv	3	25	549e92e30297cdf62602f07aa964ddbd9f808ed036403c93c6e095df7d58b553
src/interfaces/srv/GetDatum.srv	13	248	2cdc76b0943a821e37fa966ab37dbf690611c056d651ddaaace69b4f6937805f
src/interfaces/srv/GetKeepoutState.srv	7	104	3fd273344cb8596e01bdcd88af59da8a7042c996b6a58f34e7c1565c8f48c197
src/interfaces/srv/GetNavSnapshot.srv	10	164	bf168480cc9b81ed65a7ba9f554ef36b70181c691764b38778d3fce37854457a
src/interfaces/srv/GetNavState.srv	12	229	0bd8e4965019aae03bcc3cb3a184e9c5e5f34c703afab4b21be25b1f8269354b
src/interfaces/srv/GetPatrolMissionState.srv	31	650	49bb9a520dec91a642ddaeee808382ffaa5929ece2e985de24ad896049e35758
src/interfaces/srv/GetRouteMissionState.srv	53	1265	6f548b04d33b0ae4d5b7a8c7b2a0c1c59114e496e0c8aa0c833ddf9dff141f08
src/interfaces/srv/GetZonesState.srv	7	91	1a4bbd4cb87177794de519bcc10accc09c42eac1a159c91a7bdaab94aabde022
src/interfaces/srv/RequestReturnHome.srv	3	25	549e92e30297cdf62602f07aa964ddbd9f808ed036403c93c6e095df7d58b553
src/interfaces/srv/SetDatum.srv	10	166	4fcb0b0116c611313bb099417a8c6853af50cdf8a214f718006dd24f1b109b84
src/interfaces/srv/SetKeepoutZones.srv	5	68	4d91622130b99b240fb96a4c308aff74127aa390c49d2380cb1f5154a53be3f4
src/interfaces/srv/SetManualCmd.srv	5	60	fa798bb71fd37cfbea00edee8e2e95724285ac32c14d6680882dc7d37904f29b
src/interfaces/srv/SetManualMode.srv	5	57	2de5b57e83a007a66313ba45e2de79874fd7cdfce807d7f97f9e09ec072bda65
src/interfaces/srv/SetNavGoalLL.srv	11	152	ccbef0bf73f87146d16fe8985f411c6ad69d74199c22639d7207bd1b26d7d863
src/interfaces/srv/SetNavigationProfile.srv	5	62	18e0b9e59fdda5b152f027ef44780e9c4326dfdfe13a661debdb2cf1b0d5906e
src/interfaces/srv/SetPatrolMissionLL.srv	24	566	9097a6f5b946a968bc046e2a15f25a3308beda3990d9ea1d40588df38f24b423
src/interfaces/srv/SetRouteMissionLL.srv	14	268	58e315867c441b8f74c9dad1975b6f14fa4b750e79bd0d9d5e4f3f0d52c40574
src/interfaces/srv/SetSimBatteryPreset.srv	11	170	b4c50b380aaaa38ef4a2b58292c17a7c3c578872227e8007de075a2a3df4a502
src/interfaces/srv/SetSimBatteryState.srv	12	208	060929979e60c9bbde7404c30cdbb213f4010a420abbc8748e52d32d3602ab98
src/interfaces/srv/SetZonesGeoJson.srv	7	100	7eb30ea90a6db0463dff4268c8d0a21ea74cb4fe1dc06f509b35ffcfc70d8db2
src/map_tools/.gitignore	1	15	8df1fab4d5eb7cd86b2a28886842df2f9da7ff9e45050d5d1ff5fd5f3e524e06
src/map_tools/launch/no_go_editor.launch.py	311	15743	94d77ff591267db201f0e02afcb928896d0a0a7fa6fd474e0727ebbda545dfbd
src/map_tools/map_tools/__init__.py	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/map_tools/map_tools/datum_file_utils.py	196	6232	4f3c42261758f5b715048c59310ff4203e6279f77b93896893ceb61be79b3a12
src/map_tools/map_tools/waypoints_file_utils.py	210	7621	1caa9851002dd3a5d597d658b84324ab6f3e884c42342130c3008dff8ce5b3c7
src/map_tools/map_tools/web_zone_server.py	5338	219686	26297e8752b900ebf31f37542176d3c40d32052774f0382d77791af28844f84a
src/map_tools/package.xml	33	1115	f281620df6d3753450ec468288e4d90cf8cf22da7001c3f8adf912a103c04882
src/map_tools/resource/map_tools	1	10	6f15f81e29c27571a5ff98aa21b6020cb88b8adef6eee3140d76fb3efcde25ca
src/map_tools/setup.cfg	5	88	c79e34d89f14ae3b115d13fee1a5c2d60bd21973bb86a86869476263db777a25
src/map_tools/setup.py	33	1034	069ad37fed01e4bbc04a3404598ab8ddd6650a597bcd718d2310ff5845692b87
src/map_tools/test/test_datum_file_utils.py	63	1463	07dd1aa34eacf732d40a7fe3b6cf8f248a01e96257ed1de8c2af1526446fcd6a
src/map_tools/test/test_no_go_editor_launch.py	14	491	f694cf3af11fa6e5ad0bb2cad79bfacd46ed3fb5217b10d099e8e241bc825c6a
src/map_tools/test/test_waypoints_file_utils.py	208	6054	5ab05c3f1fbe89133a48614921287fff80fc52b03a2feea5df4d5f823dc96c96
src/map_tools/test/test_web_zone_server.py	612	22293	0fe1bb58b1ac4a55c644b703127dab2d5a50658abaaf97fb29cd6573c49cab00
src/navegacion_gps/.gitignore	3	28	25a5c2e27a7857e0fa2ae192ed67f4b9eb914b724dd506bdea907f4ef062d602
src/navegacion_gps/config/.mapviz_config	49	1071	df02f24d101872e1c2af0deacf7accdc746badcc49d66074d995b1c9b1460afb
src/navegacion_gps/config/bridge_config.yaml	73	2280	dfc53367df55820b4ed8c38999c6efc7ae337f3241d88ddba403045109fc5acc
src/navegacion_gps/config/bridge_config_v2.yaml	35	986	5fa817e3818970257ca52d9ccd7214bd4659f1aa443a28ff42d6e7c5801a2348
src/navegacion_gps/config/collision_monitor.yaml	57	1571	ad587abf468a9b9b879cce8f7cb865b34125f8e411a4295e9c55696dbb197b35
src/navegacion_gps/config/collision_monitor_lidar_only.yaml	37	939	2796d8a997f16ad73b02e10db87843e50f0901c97804bd85eb7dae6adb04d5f3
src/navegacion_gps/config/collision_monitor_v2.yaml	61	1687	35b46f97b244ff252dac55b1ec65d31e7e62550da431e93bb12899fb975eec58
src/navegacion_gps/config/cyclonedds_lan.xml	47	2062	839aae06fecd18eb50acf0d25d68cf329b7351af8598319196198f820d8e97ca
src/navegacion_gps/config/cyclonedds_wifi.xml	21	769	ca78ded87d2648ba37c62c91aafc9ae9f718f4c5330b7f9d341c73272baaf634
src/navegacion_gps/config/datums.yaml	54	1339	f9e481e3160c2d43eb6766a0091eae5d19445897020f039073361d6305c9668a
src/navegacion_gps/config/default-waypoints.yaml	11	186	d00089eeabc7bdfa9c4036fc7520046a469869325945cf8a716f6eb6a93b2b50
src/navegacion_gps/config/dual_ekf_navsat_params.sim_decouple_global_linear_twist_only.yaml	11	306	687f0090fb11d60c983ff1a4a11c646370320c8e078e07b8ef6c11447233e6b4
src/navegacion_gps/config/dual_ekf_navsat_params.sim_decouple_global_twist_only.yaml	11	305	90f4f0ab928c5dbb6ddf9d33ab0a51cdab3fbe339252277358809dbc37295db2
src/navegacion_gps/config/dual_ekf_navsat_params.sim_decouple_global_yaw.yaml	11	305	90f4f0ab928c5dbb6ddf9d33ab0a51cdab3fbe339252277358809dbc37295db2
src/navegacion_gps/config/dual_ekf_navsat_params.sim_navsat_imu_heading.yaml	3	65	67f9e0e2e980ea4d270dbed6f2162df2e16d6db44b4f13aadde531655e02240b
src/navegacion_gps/config/dual_ekf_navsat_params.yaml	157	9942	0be5dd73dfa3f55af0b66164f3f163723e855c7c9cc0009817c45699f5b1777b
src/navegacion_gps/config/keepout_mask.yaml	10	132	a8d4f5f9dae84479cc7a7bc2a07b50daf8d001a1790d68f1af0f2df377ea4c3e
src/navegacion_gps/config/localization_global_v2.yaml	197	7579	36e00cf561f6e704eb6ef437598f5c0c73470ea26b53f0a89e1888d89ba053a7
src/navegacion_gps/config/localization_v2.yaml	56	3038	d625a420483b203cf3aa08a65b3b00dd6c1cb991ed771e101b920e5722d7e95b
src/navegacion_gps/config/nav2_global_v2_params.yaml	302	8899	540c49cd54d44e1ca15cae24bf93050b212c68a972f9b320a3d30fe24275470a
src/navegacion_gps/config/nav2_global_v2_real_rolling_params.yaml	365	11789	2161a6afd8a4aa4876bc22b0dad9210248ef8cbc3c2b9f0e5330b354b787db2d
src/navegacion_gps/config/nav2_global_v2_real_rolling_wifi_params.yaml	378	12753	e044350c945f4cd5b67fa7dc09e8dbc933182f2a53a85d28c04c304e6490ccad
src/navegacion_gps/config/nav2_global_v2_sim_rolling_params.yaml	365	12338	5a1bddb0b7e8b8d51c653a8ee33c8e819685f01cb99336ec5d949f387a8cc4a0
src/navegacion_gps/config/nav2_global_v2_sim_rolling_wifi_params.yaml	365	12456	c27525fc39fc93a8c87af227fdb970d7a00d3ff199363890b73d6eb2e87b77c6
src/navegacion_gps/config/nav2_local_v2_keepout_overrides.yaml	1	3	ca3d163bab055381827226140568f3bef7eaac187cebd76878e0b63e9e442356
src/navegacion_gps/config/nav2_local_v2_no_keepout_overrides.yaml	13	267	4950fe000b960fb5d0e61de867262547e31c837b1594c7cfa08921ce26946158
src/navegacion_gps/config/nav2_local_v2_params.yaml	311	9520	e3ebddb6dcb92d9277600d99a2b50c760af08f6e8b74066779b3f8e77b054213
src/navegacion_gps/config/nav2_no_map_params.yaml	334	10188	bf23fc23836ada1c81e5e136826c375ba4c906f084b42c3e899f465630f5b0b3
src/navegacion_gps/config/nav_benchmark_scenarios.yaml	154	3971	ea7a5fa24791d8990d298308ce5a9a097419c7e82b94c5b0511e7e42d292bfb3
src/navegacion_gps/config/navigate_through_poses_trace.xml	73	3879	c29807840454662ae70b1d1c3fb371a72fcc8793cdc64ad0af415405d18f8875
src/navegacion_gps/config/navigate_through_poses_w_replanning_and_recovery_no_spin.xml	55	2564	297dd1bfab72957baa8071940e3ad80bbec847036972c386b03fe1ed1a006fb3
src/navegacion_gps/config/navigate_to_pose_w_replanning_and_recovery_no_spin.xml	40	2029	7609c4f9486e4d029c75f0e927bc9aceaf5643e85b3a3c2362a81dc724ad4f3b
src/navegacion_gps/config/navigate_to_pose_w_replanning_and_recovery_no_spin_no_backup.xml	40	2029	7609c4f9486e4d029c75f0e927bc9aceaf5643e85b3a3c2362a81dc724ad4f3b
src/navegacion_gps/config/no_go_zones.geojson	4	52	b3049ad7a1062091e169bd352424d59721a26b8b6229942aef26d11b0c6a96e1
src/navegacion_gps/config/no_go_zones.yaml	44	1021	dd6bb5a9102fb983c05b26f7a5b0b6bb7768d7d815eb02b26fa29ff3b380d348
src/navegacion_gps/config/pointcloud_to_laserscan.yaml	15	362	1ad984cad3ea60e33a0ad4073444412b9742292454826d4c07ad17600cc0420f
src/navegacion_gps/config/pointcloud_to_laserscan_real.yaml	20	696	51617dbc314fd2c76a849c87541cd52af1ed717eae8a0632fd04445e0bcbd155
src/navegacion_gps/config/pointcloud_to_laserscan_real_cuatri_real_v2.yaml	15	363	76e0634f37ac46c0c44dfaa0406453f55f3d0cb873f7d6c349cf742d98c967af
src/navegacion_gps/config/pointcloud_to_laserscan_tilted_lidar_sim.yaml	15	363	4dc99214aafcc98eb8cc4b86752596fdf56f97520bf288323137a68f751a133c
src/navegacion_gps/config/rviz_global_v2.rviz	429	10822	256e156ae0af3974cfba6dce522b466fb33952ec59735882b618fc364c151853
src/navegacion_gps/config/rviz_global_v2_wifi.rviz	330	8495	8ba17f1f3b10a3a95541669d125ad37e90a6e2e4cf171ea549e1ef54d4fb728d
src/navegacion_gps/config/rviz_global_v2_wifi_2d.rviz	309	7901	434b45f506e4b6e469891a2fc994ac8895df043bca09109c8e2ee00520129f6e
src/navegacion_gps/config/rviz_global_v2_wifi_scan_ground.rviz	364	9407	de99fef21c1acaeb1b73d096459d63797d371335087614e8f482ee0062b7071b
src/navegacion_gps/config/rviz_local_v2.rviz	332	9085	1c28d65fa0471f68b9513850c7648fd5190bc6252b7f7afcae161c9a3627c587
src/navegacion_gps/config/rviz_nav2_full.rviz	613	16744	e57144644d25bc87fd9758d8eac7c30a4c1958e934d582efed760e5d0eba2c4f
src/navegacion_gps/config/scan_ground_filter.param.yaml	21	792	6dc0fc7070681977c03e47d13575298368acd28671c7997fde1cf6ee7f6c2d0a
src/navegacion_gps/launch/keepout_filters_v2.launch.py	85	3373	bdf24d9f1c99b6bb37fc33f91adddd0030c0c67de919c527a06a2d0a48db388e
src/navegacion_gps/launch/localization_global_v2.launch.py	566	24107	e2df6a386f7987b82648a9e811a22b81598167f17f2ab9a505b5b595877bafea
src/navegacion_gps/launch/localization_v2.launch.py	124	5272	dec3d5400f6f9fa3a36e8e363d789a1d36634fbe59bdf321b207f73cce7bd1fe
src/navegacion_gps/launch/nav2_only.launch.py	325	10950	ffd76e33f2152c8bd28f6d90ffb106e04bd441076c0ee37caf37587bdb394bc9
src/navegacion_gps/launch/nav_global_v2.launch.py	296	11803	4ca7a71aa3659ccd9c0e72b15e0f881055a184ecfc0eb1df77c9b849fe5429d2
src/navegacion_gps/launch/nav_local_v2.launch.py	242	9550	ef20a9f32e3e22564ae7e65911898b2010ad2ee07f84c6b27c52b44f4d254751
src/navegacion_gps/launch/real.launch.py	455	17414	9524cd16b5e8412995263fbab606efb29eeccee1dc6a11c7d27b25c1b0b277d1
src/navegacion_gps/launch/real_global_v2.launch.py	998	49140	7bcb3adad48f38fc1ef06f4095ddedac979942eb4dd109c643b6cc63a7136b41
src/navegacion_gps/launch/real_global_v2_wifi.launch.py	426	25000	7049ddaa48fa1c2353bec23a1be653d2f6f09348a9656fe2a0df4b670347e17e
src/navegacion_gps/launch/real_local_v2.launch.py	450	20127	2e6f0fbc7336c084bdccffef44ea37d17fb0f033ff0d0d93fe6c93cd4ea74dff
src/navegacion_gps/launch/replay_localization_global_v2.launch.py	214	11719	e8e39e810e56cbb26d3ea80b3d9fcf738f1908e995fefde5d25bb412cc3401bd
src/navegacion_gps/launch/rviz_real.launch.py	80	2708	e3f4d5e01054aadee19b41e0741a73571efad39d258b3ba6a41b3c8ee2cf28ad
src/navegacion_gps/launch/rviz_real_global_v2.launch.py	93	3252	74c21ec5c16ea1d081bda7ef4d0a6e0e6d7466362f55d7b6c263088abb0a8dc6
src/navegacion_gps/launch/rviz_real_global_v2_wifi.launch.py	49	2095	05257125ac653428ef42869950e068c530ed120e3572b50c29e3508f0b657b59
src/navegacion_gps/launch/rviz_real_local_v2.launch.py	80	2707	9dec69f6a231d40ae0b7fba85798de368ad9d26feb4afaf1fadb4c9cae7c2bb6
src/navegacion_gps/launch/rviz_sim_global_v2.launch.py	92	3187	e1f9a6bc7783af14540beb3418a8415ea585ecef1a5a808908f056f7d0497ac8
src/navegacion_gps/launch/rviz_sim_global_v2_wifi.launch.py	49	2093	0092d3a894ebef6374736e8b7cb954c43c4896b902db2b3b942b858d8aeb681f
src/navegacion_gps/launch/sim_global_v2.launch.py	873	45086	361f1076d33efcf5a46945d710b182024e28ff51a2808d9f9338649967f19226
src/navegacion_gps/launch/sim_global_v2_wifi.launch.py	496	27839	fa86608b8a1adaae3f0135830374b3e4dd5b15a9b20f8153d9c5dd705c650e44
src/navegacion_gps/launch/sim_local_v2.launch.py	286	15098	7f0d330abf4f93895bf378ed269d94ff9c24f7dbf0b2e040e4fa595d7ff05da6
src/navegacion_gps/launch/sim_v2_base.launch.py	345	13076	20e335a9b6274edf47def726869897532278da166979ae42ba1a584295e9a685
src/navegacion_gps/launch/simulacion.launch.py	921	34350	f0fa596562427b7dab13a612c094ad3e9eae5f025bb0963c17a5128929df35c4
src/navegacion_gps/launch/validate_scan_ground.launch.py	161	7806	182724fc3cd5dffbdc598baa6f0ffa459fcb12488c227d624b70ef72286509b1
src/navegacion_gps/launch/validate_scan_ground_real.launch.py	83	3891	e07b311a67a978107e728b70c5f5d61f64472dad21929d189d5ddff0c69d5e44
src/navegacion_gps/models/cuatri.urdf	393	12231	44d99c3f6cef51d6f1d5db368e88df7f829dbd37baf5d3883116ab716af7f9da
src/navegacion_gps/models/cuatri_real.urdf	433	12804	5f249dfef0f00f6f2e19779a7286a88bd8d35ba8a49ae23498230f54e7d46714
src/navegacion_gps/models/cuatri_real_v2.urdf	433	12805	1beb5f14ad4bd1c2d810c75d9be16081e94048ff86d9fd541870daa876753d65
src/navegacion_gps/models/cuatri_ultrasound.urdf	624	19133	b0f8425c67ba07f13d8533f22de9236b0eea8c18681a3950b522ccf584841c54
src/navegacion_gps/models/modelo.urdf	422	13777	716d8bca1a5168a9ef59cdf08d6ae798ffd780ac1dd782834dd8aba8d5cd7293
src/navegacion_gps/models/my_robot.urdf	348	11372	64d7d90c39e504f7da882d1144e59a9fcd7a504ffb22ceb651df2be101e05e8d
src/navegacion_gps/navegacion_gps/__init__.py	0	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/navegacion_gps/navegacion_gps/ackermann_odometry.py	230	8491	81180cad61380b2c935491d8824dbb49c735cf9190f2b6d79495eb6d7f92d457
src/navegacion_gps/navegacion_gps/cmd_vel_ackermann_bridge_v2.py	182	7339	41c14d9fc50426b052a6379145317bd174de00e5b329b53696ba893d0dbd4047
src/navegacion_gps/navegacion_gps/compass_calibration_recorder.py	726	24990	3c89eee9181ffb176d79dede4f960b9d12d61edfae4ef8bf58e6c9599fbde3b0
src/navegacion_gps/navegacion_gps/compass_heading_gate.py	385	13969	a0ded0d92fa0ac9a5bb5d07473dd51509533cde469a818ee6fe294890c41a2f2
src/navegacion_gps/navegacion_gps/datum_profile_resolver.py	61	1947	d0b367a29c6fc82b634eba08c3239b92421dd254bd5c2da6b3a4231d88ec1f57
src/navegacion_gps/navegacion_gps/datum_setter.py	602	23209	6a64da9c66b13441e4219d4c3ad268dd7de037ec1b255ddb519b429a95a036f3
src/navegacion_gps/navegacion_gps/gazebo_utils.py	668	27191	7128bfb66c0f991ca81fc7dde80c3922a770c43d8adae8ddf96e9be1eec7216a
src/navegacion_gps/navegacion_gps/global_imu_stationary_gate.py	104	3716	005abe5df64b72611ae9bded062e6a899276679a26400653d6895e9fd7dee8d6
src/navegacion_gps/navegacion_gps/global_odom_stationary_gate.py	99	3642	3ed332e8428845e25c8120d25c993cab011d10e82b9bd286b632aad3cdbca9ef
src/navegacion_gps/navegacion_gps/global_yaw_stationary_hold.py	120	4394	301dff5d485891cdd8c9d7157cd8a39c4da6c43610988c3f9865f25fcabb14c4
src/navegacion_gps/navegacion_gps/goal_pose_to_follow_path_v2.py	748	29519	ff275a11c4b09a28c28561b6500fe5d42226fbeaff047dd3bad5034458ee140c
src/navegacion_gps/navegacion_gps/gps_course_heading.py	305	12924	c4077a05a13ce45b2f7b029e4f359012bac26783378e535dd0e11026016c9b02
src/navegacion_gps/navegacion_gps/gps_course_heading_core.py	305	10537	c5a50d41d76397b3a51b82239e148f7228238e7c7f6c5ae1fb92879f0da01114
src/navegacion_gps/navegacion_gps/gps_profiles.py	226	7935	f31d440baf5ca47f1c2669d9290221554c85ca470a0a48e1c4540a4d1aacae36
src/navegacion_gps/navegacion_gps/heading_math.py	69	2147	22baf41b58ff79ea1d4c1055fcf4eddb1c916747118d05ba7bc8a61dbe6aeb22
src/navegacion_gps/navegacion_gps/keepout_mask_utils.py	112	3316	9becd92fcd4aded9ea2841adf9bc09a24d1f9e2e9d8b00cc87c527c207ce2fb1
src/navegacion_gps/navegacion_gps/lidar_obstacle_filter.py	691	24066	5260469ff90442dd1be121a5faa3cf3f79dd750e2c20aa12944dbd6ce188e66f
src/navegacion_gps/navegacion_gps/loop_waypoint_benchmark.py	189	7433	390a874562a47890a09283a3b673072e3815fe2176eeceaad072203240f768aa
src/navegacion_gps/navegacion_gps/loop_waypoint_benchmark_core.py	81	2458	181e0f2524329225eaaf524f2a964674081b0468dfb651f90488638b0a635cce
src/navegacion_gps/navegacion_gps/map_gps_absolute_measurement.py	230	8233	3fed3b66e02a8571b95b1b4699538b7a9e72279fc7d2fd8436f8af874b7c762d
